"species","year_described","range","is_in_germany","rare","observer"
"Sericomyia bombiformis",,,,,"Emil Cyranka"
"Sericomyia lappona",1758,"from Iceland, Fennoscandia and the Faroes (Jensen, 2001) south to the Pyrenees; from Ireland eastwards through northern, central and southern Europe (northern Italy, the former Yugoslavia) into European parts of Russia; through Siberia to the Pacific coast (Sakhalin Is.).","yes","no","Emil Cyranka"
"Sericomyia nigra",1873,"from northern Norway south to southern parts of Norway, Sweden and Finland; northern parts of European Russia and on into Siberia.","no","no","Emil Cyranka"
"Sericomyia silentis",1776,"from Fennoscandia south through mountainous regions to the Pyrenees; from Ireland eastwards through northern Europe and mountainous parts of central Europe (this species is very local in the Alps) into Russia (and the Caucasus) and on to the Pacific coast and Japan. 223","no","yes","Emil Cyranka"
"Sericomyia superbiens",1776,"Scandinavia south to the Pyrenees; Ireland east through central and southern Europe (northern Italy) into European parts of Russia; south of northern France largely confined to mountain ranges. A rapid decline of this species has been noted since 1950 in Belgium (Verlinden and Decleer, 1987) and Denmark (Torp, 1984).","yes","no","Emil Cyranka"
"Sericomyia volucellina",,,,,"Emil Cyranka"
"Spazigaster ambulans",1798,"Schwarzwald (Germany), Alps, Apennines, Hungary, northern parts of the former Yugoslavia, the Carpathians, the Caucasus and Turkey (where it is widespread and abundant in the mountain ranges: J.A.W.Lucas, pers.comm.).","yes","yes","Emil Cyranka"
"Sphaerophoria batava",1974,"as yet uncertain, due to confusion with related species until recently, but recorded from Fennoscandia south to the Pyrenees and from Ireland eastwards through central Europe to the Alps (Switzerland, Liechtenstein, Austria).","yes","unclear","Emil Cyranka"
"Sphaerophoria fatarum",1989,"not yet established, but known from Iceland, Scandinavia and the Faroes (Jensen, 2001) south to Belgium and France (Alps); from Ireland eastwards through central Europe to Switzerland and northern Italy.","yes","yes","Emil Cyranka"
"Sphaerophoria interrupta",1805,"from northern Fennoscandia south to Iberia and the Mediterranean; from Ireland eastwards through much of Europe into European parts of Russia and the Caucasus; through Siberia to Cis-Baikal.","yes","no","Emil Cyranka"
"Sphaerophoria loewii",,,,,"Emil Cyranka"
"Sphaerophoria nigra",1945,"endemic to the Azores.","no","yes","Emil Cyranka"
"Sphaerophoria philanthus",1822,"requires to be reinterpreted following description of S.boreoalpina (see below). At present, this species is only definitely known from parts of northern, Atlantic and central Europe, from northern Norway south to Germany and from Ireland eastwards to Austria. But it probably ranges through northern parts of the Palaearctic outside Europe and occurs also in the Nearctic.","yes","yes","Emil Cyranka"
"Sphaerophoria rueppellii",,,,,"Emil Cyranka"
"Sphaerophoria scripta",1758,"a highly migratory species; southwest Greenland, Iceland and Fennoscandia south to the Mediterranean, the Canary Isles and N Africa; from Ireland eastwards through much of the 230 Palaearctic to the Pacific coast of Asia; Kashmir and Nepal.","unclear","no","Emil Cyranka"
"Sphaerophoria taeniata",1822,"most of Fennoscandia south to central France; Britain eastwards through central Europe into Russia and on through Siberia to the Pacific coast (Sakhalin).","yes","no","Emil Cyranka"
"Sphaerophoria virgata",1974,"most of Fennoscandia south to Spain; from Britain eastwards through most of central Europe (including Germany, the Czech Republic, Slovakia, Switzerland, Liechtenstein, Austria) to Roumania; across asiatic Russia to the Russian Far East (Yakutia). The range of this species is not yet adequately known.","yes","no","Emil Cyranka"
"Sphecomyia vespiformis",1852,"southern Norway to northern Sweden, Finland and Russian Karelia, the Baltic States, Poland and on into Siberia.","no","no","Emil Cyranka"
"Sphegina clunipes",1816,"from Fennoscandia south to Iberia; from Ireland eastwards through most of Europe into European parts of Russia and the Caucasus; through Siberia to the Pacific coast; Japan.","yes","no","Emil Cyranka"
"Sphegina dogieli",1953,"southern edge of European Russia, on the northern fringe of the Caucasus mountains.","no","yes","Emil Cyranka"
"Sphegina elegans",1843,"from Fennoscandia south to the Pyrenees and Spain; from Ireland eastwards through central and southern Europe (northern Italy, the former Yugoslavia, northern Greece) into European parts of Russia to the Caucasus mountains. Also known from Samos island, in the Mediterranean near the coast of Turkey.","yes","no","Emil Cyranka"
"Sphegina montana",1921,"Finland, Poland, Germany, Czech Republic, Switzerland, Liechtenstein, Austria, Italy, parts of the former Yugoslavia, Roumania.","yes","no","Emil Cyranka"
"Sphegina negrobovi",1976,"southern edge of European Russia, on the northern fringe of the Caucasus mountains.","no","no","Emil Cyranka"
"Sphegina sibirica",1953,"from northern Fennoscandia south to central France; from Ireland (where it was first recorded in 2008) eastwards through central Europe and European parts of Russia to the Caucasus and into Siberia as far as Kamchatka and Khabarovsk. S.sibirica has spread rapidly through western Europe during the last quarter of the 20th century.","yes","no","Emil Cyranka"
"Sphegina verecunda",1937,"Britain, Denmark, Germany, Czechoslovakia, northern France, Switzerland, Liechtenstein, northern Italy; Azerbaidjan.","yes","no","Emil Cyranka"
"Spilomyia digitata",1865,"parts of central Europe (southern Germany extinct?, Switzerland - extinct?) and the Mediterranean basin, from Spain round to Italy. Literature records from eastern parts of Europe probably refer to other species (van Steenis, 2000).","yes","yes","Emil Cyranka"
"Spilomyia diophthalma",1758,"southern Norway, Sweden, Finland, Germany (Bavaria), Czech Republic, France (extinct?), Switzerland, northern Italy, European parts of Russia, Turkey and the Caucasus and on through Siberia to Sakhalin. The European range of this species is now apparently discontinuous. It is probably endangered at the European level.","yes","no","Emil Cyranka"
"Spilomyia manicata",1865,"from Norway, Denmark and northern France south to central Spain and eastwards through central Europe to European parts of Russia; through mountainous parts of southern Europe (and Corsica) to the former Yugoslavia and Greece; Roumania; the Caucasus. There are very few recent records of this species from most parts of its range. It is probably threatened over much, if not all, of Europe.","yes","yes","Emil Cyranka"
"Spilomyia saltuum",1794,"from central France south to the Mediterranean; from Spain round the Mediterranean to the former Yugoslavia, Turkey and the Caucasus. Through central Europe from southern Germany, Switzerland and Austria to Hungary, Roumania and southern parts of Russia. Records from more northerly parts of Europe are apparently nearly all erroneous, due to confusion with S.manicata (Rondani), and there are very few recent records from north of the Alps. As with the other Spilomyia species known in Europe, the decrease in ancient forest has taken a toll of S.saltuum and it has to be regarded as under threat over much of its range.","yes","no","Emil Cyranka"
"Syritta flaviventris",1842,"Portugal, Spain and round the Mediterranean from the southern coast of France to Turkey and on to north Africa; in eastern parts of the Afrotropical region to the southern tip of Africa and in Madagascar and the Mascarene islands. Known from various Mediterranean islands: Corsica, Sardinia, Sicily, Crete, plus Cape Verde. Also cited from Argentina, Brazil and Chile in the Neotropical region, Mexico and Texas (USA) in the Nearctic and Easter Island in Oceania (to which it has supposedly been introduced).","no","no","Emil Cyranka"
"Syritta pipiens",1758,"becoming cosmopolitan; known from most of the Palaearctic, including North Africa, most of N America, S America and the Oriental region. But records from the Afrotropical region are apparently erroneous.","no","no","Emil Cyranka"
"Syrphus nitidifrons",1921,"from north-west Germany south to the Pyrenees; from Britain (S England), Belgium and the Netherlands through central Europe (Czechoslovakia, Switzerland) to the former Yugoslavia. S.nitidifrons appears to be spreading rapidly through Atlantic parts of Europe at present.","yes","yes","Emil Cyranka"
"Syrphus ribesii",1758,"from Iceland and Fennoscandia south to Iberia and the Mediterranean; Canary Isles; from Ireland eastwards through most of Europe into Turkey, European parts of Russia and Afghanistan; from the Urals to the Pacific coast (Kuril Isles); Japan; N America from Alaska south to central parts of the USA. This species is highly migratory.","yes","no","Emil Cyranka"
"Syrphus torvus",1875,"from Greenland, Iceland, the Faroes (Jensen, 2001) and Fennoscandia south to Iberia and the Mediterranean; through most of Europe into Turkey and European parts of Russia; from the Urals through Siberia to the Pacific coast (Kuril Isles); Japan; Formosa; northern India, Nepal, Thailand; in N America from Alaska south to New Mexico.","yes","no","Emil Cyranka"
"Syrphus vitripennis",1822,"throughout most of the Palaearctic region, including north Africa; in N America from Alaska to California; Formosa. This species is highly migratory.","yes","no","Emil Cyranka"
"Temnostoma angustistriatum",2002,"Norway, Finland, European Russia (Karelia); Siberia to the Pacific coast region.","no","no","Emil Cyranka"
"Temnostoma apiforme",1794,"requires reassessment, due to confusion with T.carens, but probably from Lapland south to northern France (Ardennes, Vosges); from eastern Belgium through northern and central Europe into European parts of Russia and on through Siberia to the Pacific coast and Japan;. Although this species has a wide geographic range, it has a relictual distribution pattern over much of its European range and is probably now under threat at European level.","yes","unclear","Emil Cyranka"
"Temnostoma bombylans",1805,"requires re-assessment, due to confusion between T.bombylans and T. angustistriatum, but probably from southern Sweden and Denmark south to the Pyrenees and North Africa; the former Yugoslavia; eastwards from northern France through northern and central Europe into Asiatic parts of Russia as far as the Pacific coast and Japan; Korea. In Europe, probably the most frequently met with Temnostoma species, but nonetheless very local.","yes","unclear","Emil Cyranka"
"Temnostoma meridionale",1962,"Sweden, Finland, Estonia, Latvia, Denmark, Germany, Luxembourg, central and south-west France (including the Pyrenees), the Czech Republic, Slovenia, Roumania, the Ukraine, European parts of Russia and the Caucasus.","yes","no","Emil Cyranka"
"Temnostoma sericomyiaeforme",1886,"uncertain, due to confusion with T.vespiforme until recently, but confirmed from Norway, Sweden, Finland, Denmark and the Ukraine.","no","unclear","Emil Cyranka"
"Temnostoma vespiforme",1758,"requires reassessment, due to confusion with both T.meridionale and T. sericomyiaeforme, but probably from central Sweden south to northern Spain; from northern France (Brittany) eastwards through most of Europe and on through Asiatic parts of Russia to the Pacific coast and Japan; the Caucasus; also in the Nearctic from Alaska south to New Mexico and east to Quebec. Now rather localised over much of its European range.","yes","unclear","Emil Cyranka"
"Trichopsomyia flavitarsis",1822,"from Fennoscandia south to the Pyrenees and northern Spain; from Ireland eastwards through northern Europe and mountainous parts of central Europe into European parts of Russia and on to the Pacific coast; also in the former Yugoslavia.","yes","yes","Emil Cyranka"
"Trichopsomyia joratensis",1997,"Norway, Sweden and southern Finland southwards through Denmark and the Netherlands to Belgium and France; from Germany and Poland eastwards through central Europe (Czech Republic, Switzerland, Austria, Slovakia, Bulgaria) to Roumania and in southern Europe: Italy.","yes","no","Emil Cyranka"
"Trichopsomyia lucida",1822,"southern England, Germany, Belgium, the Netherlands, France, central Spain, Switzerland and Turkey.","yes","no","Emil Cyranka"
"Triglyphus primus",1840,"from southern Norway south to southern France and Andorra; round the Mediterranean to Italy, the former Yugoslavia and Israel; from Britain (southern England) eastwards through central Europe to Roumania and the Ukraine; from the Caucasus on through Asia to Sakhalin and Korea.","yes","no","Emil Cyranka"
"Tropidia fasciata",1822,"from southern Finland southwards to the Pyrenees; Belgium, Luxembourg, Germany and Poland and on through the Czech Republic to Slovakia, Austria and Hungary; apparently absent from the Alps and European Russia but also known from eastern Siberia. France, from the Ardennes to the Pyrenees, seems to be the only part of Europe in which T.fasciata has been collected frequently.","yes","no","Emil Cyranka"
"Tropidia scita",1776,"from Fennoscandia south to central France; from Ireland eastwards through central Europe and on through Russia to the Caucasus and in Asia as far as the Pacific coast and Japan.","yes","no","Emil Cyranka"
"Volucella bombylans",1758,"from northern Fennoscandia south to Iberia; from Ireland eastwards through central and southern Europe into Russia and the Caucasus and on to the Pacific coast and Japan; in N America from Alaska to Newfoundland and south to California and Georgia.","yes","no","Emil Cyranka"
"Volucella elegans",1862,"Portugal, Spain and Corsica.","no","yes","Emil Cyranka"
"Volucella inanis",1758,"from southern Fennoscandia south to Spain and the Mediterranean (including islands, e.g. Crete), North Africa and Asia Minor (Syria); from Britain (southern England) eastwards through central and southern Europe into Turkey and European parts of Russia and on through Siberia to the Pacific; Afghanistan, Mongolia, China. This is a strongly migrational species.","yes","no","Emil Cyranka"
"Volucella inflata",1794,"from Sweden and northern Germany south to the Pyrenees and northern Spain; from Britain (England, Wales) eastwards through central Europe into European parts of Russia and on into the Caucasus; the former Yugoslavia; Bulgaria. This fly is now very local over much of its European range.","yes","yes","Emil Cyranka"
"Volucella pellucens",1758,"from Fennoscandia south to Iberia; from Ireland eastwards through Eurasia to Japan; India and Malaya in the Oriental region; the Caucasus.","yes","no","Emil Cyranka"
"Volucella tabanoides",,,,,"Emil Cyranka"
"Volucella zonaria",1761,"from Poland south to the Mediterranean (including islands, e.g. Crete) and N Africa; from Britain (southern England) eastwards through central and southern Europe (Italy, the former Yugoslavia, Greece) into Turkey and European parts of Russia and on through Siberia to the Pacific; Iran; Mongolia. This species is strongly migratory.","yes","no","Emil Cyranka"
"Xanthandrus comtus",1776,"from the Faroes (Jensen, 2001) and southern Norway south to Iberia; from Ireland eastwards through central and southern Europe to Russia and the Caucasus and on to the Pacific coast; Japan; Formosa.","yes","no","Emil Cyranka"
"Xanthogramma citrofasciatum",1776,"from southern Norway south to Iberia; from Ireland eastwards through central and southern Europe into European Russia and the former Yugoslavia; the Caucasus; western Siberia. This species is noticeably in decline in parts of western Europe.","yes","no","Emil Cyranka"
"Xanthogramma dives",1857,"at present uncertain, due to confusion until recently with both X.pedissequuum and X.stackelbergi, but known from Spain, France (from the Mediterranean to as far north as the Paris basin), the Netherlands, central Germany, Switzerland and northern Italy; Van Steenis (2011) records X.dives from Norway.","yes","unclear","Emil Cyranka"
"Xanthogramma festivum",,,,,"Emil Cyranka"
"Xanthogramma laetum",1794,"from northern Germany south to south-west France (Pyrenées-Atlantiques); from Belgium eastwards through central and southern Europe (Italy, the former Yugoslavia) to Roumania and European parts of Russia.","yes","no","Emil Cyranka"
"Xanthogramma laetus",,,,,"Emil Cyranka"
"Xanthogramma marginale",1854,"Portugal, central and southern Spain, southern France, Italy and north Africa (Morocco, Algeria).","no","no","Emil Cyranka"
"Xanthogramma pedissequum",1780,"uncertain, due to confusion until recently with both X.dives and X.stackelbergi, but known from Britain and Atlantic seaboard countries south to southern France and into central Europe to the Alps (France, Switzerland). It seems that in the Mediterranean zone X.pedissequum is largely replaced by X.dives and X.stackelbergi and the southern European distribution of X.pedissequum is particularly in need of review.","yes","unclear","Emil Cyranka"
"Xanthogramma stackelbergi",1975,"not yet well defined, due to confusion with X. dives and X.pedissequum, but known from Norway (Gammelmo and Nielsen, 2008); Sweden (Bartsch et al (2009a); Finland ( Haarto and Kerppola, 2007b); parts of European Russia; England; Denmark; southern Germany (Ssymanck (2002); Switzerland; France, south to the Mediterranean; Italy.","yes","unclear","Emil Cyranka"
"Xylota abiens",1822,"from Denmark south to the Pyrenees; from Ireland eastwards through central Europe (and northern Italy and northern parts of the former Yugoslavia) into Russia and the Caucasus and on as far as the Pacific coast (Sakhalin).","yes","no","Emil Cyranka"
"Xylota florum",1805,"from Scandinavia south to central France; from Ireland eastwards through much of Europe into European parts of Russia and the Caucasus and on as far as eastern Siberia.","yes","no","Emil Cyranka"
"Xylota ignava",1798,"from Fennoscandia south to central Spain; Netherlands and the Ardennes through central Europe to European Russia; in southern Europe to parts of the former Yugoslavia, Greece and Turkey; also through Asiatic Russia to the Pacific; Mongolia, China, Korea, Japan.","yes","no","Emil Cyranka"
"Xylota jakutorum",1980,"from Fennoscandia south to the Pyrenees; Italy; from Ireland eastwards through central Europe to European parts of Russia and on into Asia through much of Siberia.","yes","no","Emil Cyranka"
"Xylota lentus",,,,,"Emil Cyranka"
"Xylota meigeniana",1964,"from southern Sweden and Finland south to northern France (Paris basin); from Belgium eastwards through northern and parts of central (Roumania) Europe into European parts of Russia 255 and the Ukraine and on through Siberia to the Pacific; Japan.","yes","no","Emil Cyranka"
"Xylota segnis",1758,"throughout Europe except for the extreme north; North Africa; the Caucasus; through Eurasia to the Pacific coast and Japan; eastern parts of N America.","yes","no","Emil Cyranka"
"Xylota sylvarum",1758,"from Fennoscandia south to Iberia; from Ireland eastwards through much of northern and central Eurasia to the Pacific coast; known in southern Europe from Italy, the former Yugoslavia, Greece and Turkey.","yes","no","Emil Cyranka"
"Xylota tarda",1822,"from northern Fennoscandia south to Spain; from northern Italy (Apennines) and the former Yugoslavia (Slovenia); from Ireland eastwards through central Europe into European parts of Russia; the Caucasus; through Asia to the Pacific coast (Kuril islands).","yes","no","Emil Cyranka"
"Xylota triangularis",1838,"Lapland south to southern Norway and Sweden; Alps (France, Switzerland, Liechtenstein, Austria); European parts of Russia and on into Asia throughout Siberia; also known from Mongolia.","no","yes","Emil Cyranka"
"Xylota xanthocnema",1939,"from Denmark south to the Pyrenees; from Britain (England) eastwards through central Europe, plus Italy and the former Yugoslavia in southern Europe, into European parts of Russia and on into the Caucasus mountains.","yes","no","Emil Cyranka"
